session,roll_num,date,issue,question,result,title
115,36,11-Jan,H R 5,On Agreeing to the Amendment,A,Peterson of Minnesota Part A Amendment No. 5
115,35,11-Jan,H R 5,On Agreeing to the Amendment,A,Goodlatte of Virginia Part A Amendment No. 1
115,34,11-Jan,H R 39,On Motion to Suspend the Rules and Pass,P,Tested Ability to Leverage Exceptional National Talent Act
115,33,11-Jan,H RES 40,On Agreeing to the Resolution,P,"Providing for consideration of H.R. 78, the SEC Regulatory Accountability Act; H.R. 238, the Commodity End-User Relief Act; and for other purposes"
115,32,11-Jan,H RES 40,On Ordering the Previous Question,P,"Providing for consideration of H.R. 78, the SEC Regulatory Accountability Act; H.R. 238, the Commodity End-User Relief Act; and for other purposes"
115,31,10-Jan,H R 79,On Passage,P,Helping Angels Lead Our Startups (HALOS) Act
115,30,10-Jan,H R 79,On Agreeing to the Amendment,F,Clay of Missouri Part B Amendment No. 2
115,29,10-Jan,H R 79,On Agreeing to the Amendment,F,Velazquez of New York Part B Amendment No. 1
115,28,10-Jan,JOURNAL,On Approving the Journal,P, 
115,27,10-Jan,H RES 33,On Agreeing to the Resolution,P,Providing for consideration of the bill (H.R. 5) Regulatory Accountability Act of 2017 and providing for consideration of the bill (H.R. 79) to clarify the definition of general solicitation under Federal securities law
115,26,10-Jan,H RES 33,On Ordering the Previous Question,P,Providing for consideration of the bill (H.R. 5) Regulatory Accountability Act of 2017 and providing for consideration of the bill (H.R. 79) to clarify the definition of general solicitation under Federal securities law
115,25,9-Jan,H R 304,On Motion to Suspend the Rules and Pass,P,Protecting Patient Access to Emergency Medications Act of 2017
115,24,9-Jan,H R 315,On Motion to Suspend the Rules and Pass,P,Improving Access to Maternity Care Act
115,23,5-Jan,H R 26,On Passage,P,Regulations from the Executive in Need of Scrutiny Act of 2017
115,22,5-Jan,H R 26,On Motion to Recommit with Instructions,F,Regulations from the Executive in Need of Scrutiny Act of 2017
115,21,5-Jan,H R 26,On Agreeing to the Amendment,A,King of Iowa Amendment No. 12
115,20,5-Jan,H R 26,On Agreeing to the Amendment,F,Scott of Virginia Amendment No. 11
115,19,5-Jan,H R 26,On Agreeing to the Amendment,F,McNerney of California Amendment No. 10
115,18,5-Jan,H R 26,On Agreeing to the Amendment,F,Nadler of New York Amendment No. 9
115,17,5-Jan,H R 26,On Agreeing to the Amendment,F,Johnson of Georgia Amendment No. 7
115,16,5-Jan,H R 26,On Agreeing to the Amendment,F,Conyers of Michigan Amendment No. 6
115,15,5-Jan,H R 26,On Agreeing to the Amendment,F,Cicilline of Rhode Island Amendment No. 5
115,14,5-Jan,H R 26,On Agreeing to the Amendment,F,Castor of Florida Amendment No. 4
115,13,5-Jan,H R 26,On Agreeing to the Amendment,F,Grijalva of Arizona Amendment No. 3
115,12,5-Jan,H R 26,On Agreeing to the Amendment,A,Messer of Indiana Amendment No. 2
115,11,5-Jan,H RES 11,On Agreeing to the Resolution,P,"Objecting to United Nations Security Council Resolution 2334 as an obstacle to Israeli-Palestinian peace, and for other purposes"
115,10,5-Jan,H RES 22,On Agreeing to the Resolution,P,"Providing for consideration of the bill (H.R. 26) Regulations from the Executive in Need of Scrutiny Act, and providing for consideration of the resolution (H.Res. 11) objecting to United Nations Security Council Resolution 2334 as an obstacle to Israeli-Palestinian peace, and for other purposes"
115,9,5-Jan,H RES 22,On Ordering the Previous Question,P,"Providing for consideration of the bill (H.R. 26) Regulations from the Executive in Need of Scrutiny Act, and providing for consideration of the resolution (H.Res. 11) objecting to United Nations Security Council Resolution 2334 as an obstacle to Israeli-Palestinian peace, and for other purposes"
115,8,4-Jan,H R 21,On Passage,P,Midnight Rules Relief Act of 2017
115,7,4-Jan,H R 21,On Motion to Recommit with Instructions,F,Midnight Rules Relief Act of 2017
115,6,3-Jan,H RES 5,On Agreeing to the Resolution,P,Adopting rules for the One Hundred Fifteenth Congress
115,5,3-Jan,H RES 5,Motion to Commit,F,Adopting rules for the One Hundred Fifteenth Congress
115,4,3-Jan,H RES 5,On Ordering the Previous Question,P,Adopting rules for the One Hundred Fifteenth Congress
115,3,3-Jan,H RES 5,Table Motion to Refer,P,Adopting rules for the One Hundred Fifteenth Congress
115,2,3-Jan,,Election of the Speaker,R, 
115,1,3-Jan,QUORUM,Call by States,P, 
115,500,21-Dec,S 3628,On Motion to Suspend the Rules and Pass,P,National Flood Insurance Program Extention Act
115,499,21-Dec,H CON RES 148,On Motion to Suspend the Rules and Agree,P,Correct Enrollment to S. 3628
115,498,21-Dec,MOTION,On Motion to Fix the Convening Time,P, 
115,497,21-Dec,H R 7388,On Motion to Suspend the Rules and Pass,F,National Flood Insurance Program Competition and Extension Act of 2018
115,496,21-Dec,S 3456,On Motion to Suspend the Rules and Pass,P,"To redesignate Hobe Sound National Wildlife Refuge as the Nathaniel P. Reed Hobe Sound National Wildlife Refuge, and for other purposes"
115,495,21-Dec,H R 6287,On Motion to Suspend the Rules and Concur in the Senate Amendment,P,9/11 Memorial Act
115,494,21-Dec,S 1934,On Motion to Suspend the Rules and Pass,F,Alaska Remote Generator Reliability and Protection Act
115,493,21-Dec,S 512,On Motion to Suspend the Rules and Pass,P,Nuclear Energy Innovation and Modernization Act
115,492,21-Dec,S 3247,On Motion to Suspend the Rules and Pass,P,Womens Entrepreneurship and Economic and Empowerment Act
115,491,21-Dec,S 1862,On Motion to Suspend the Rules and Pass,P,Trafficking Victims Protection Reauthorization Act
115,490,21-Dec,S 1580,On Motion to Suspend the Rules and Pass,P,Protecting Girls Access to Education in Vulnerable Settings Act
115,489,21-Dec,S 1158,On Motion to Suspend the Rules and Pass,P,Elie Wiesel Genocide and Atrocities Prevention Act
115,488,21-Dec,S 1023,On Motion to Suspend the Rules and Pass,P,Tropical Forest Conservation Reauthorization Act
115,487,21-Dec,H R 2200,On Motion to Suspend the Rules and Concur in the Senate Amendment,P,Frederick Douglass Trafficking Victims Prevention and Protection Reauthorization Act
115,486,21-Dec,S 3661,"On Motion to Suspend the Rules and Pass, as Amended",P,75th Anniversary of World War II Commemoration Act
115,485,21-Dec,S 3277,On Motion to Suspend the Rules and Pass,F,Space Frontier Act of 2019
115,484,21-Dec,H R 4174,On Motion to Suspend the Rules and Concur in the Senate Amendment,P,Foundations for Evidence-Based Policymaking Act
115,483,21-Dec,H CON RES 149,On Motion to Suspend the Rules and Agree,P,Directing the Clerk of the House of Representatives to make certain corrections in the enrollment of H.R. 4174
115,482,21-Dec,S 3191,On Motion to Suspend the Rules and Pass,P,Civil Rights Cold Case Records Collection Act
115,481,21-Dec,S 3031,On Motion to Suspend the Rules and Pass,P,Federal Personal Property Management Act
115,480,21-Dec,S 2276,On Motion to Suspend the Rules and Pass,P,GAO-IG Act
115,479,21-Dec,H R 7293,On Motion to Suspend the Rules and Pass,P,"To designate the facility of the United States Postal Service located at 770 Ayrault Road in Fairport, New York, as the Louise and Bob Slaughter Post Office"
115,478,21-Dec,S 3367,On Motion to Suspend the Rules and Pass,P,Department of Transportation Reports Harmonization Act
115,477,21-Dec,H R 7329,On Motion to Suspend the Rules and Pass,P,"To make technical corrections to provisions of law enacted by the Frank LoBiondo Coast Guard Authorization Act of 2018, and for other purposes"
115,476,21-Dec,H R 7319,On Motion to Suspend the Rules and Pass,P,"To amend the Federal Assets Sale and Transfer Act of 2016 to provide flexibility with respect to the leaseback of certain Federal real property, and for other purposes"
115,475,21-Dec,H R 7318,On Motion to Suspend the Rules and Pass,P,"To amend the Federal Assets Sale and Transfer Act of 2016 to ensure that the Public Buildings Reform Board has adequate time to carry out the responsibilities of the Board, and for other purposes"
115,474,21-Dec,H RES 1063,On Motion to Suspend the Rules and Agree,P,Designating room H-226 of the United States Capitol as the Lincoln Room
115,473,20-Dec,H R 6602,On Motion to Suspend the Rules and Pass,P,"To reauthorize the New Jersey Coastal Heritage Trail Route, and for other purposes"
115,472,20-Dec,H R 695,On Motion to Concur in the Senate Adt to the House Adt to the Senate Adt with Adt,P,Child Protection Improvements Act of 2017
115,471,20-Dec,H R 2606,On Motion to Suspend the Rules and Concur in the Senate Amendments,P,Stigler Act Amendments
115,470,20-Dec,H R 88,On Motion to Concur in the Senate Amendment with an Amendment,P,Shiloh National Military Park Boundary Adjustment and Parkers Crossroads Battlefield Designation Act
115,469,20-Dec,H RES 1183,On Agreeing to the Resolution,P,"Providing for consideration of the Senate amendment to the House amendment to the Senate amendment to H.R. 695, the Department of Defense Appropriations Act, 2018"
115,468,20-Dec,H RES 1183,On Ordering the Previous Question,P,"Providing for consideration of the Senate amendment to the House amendment to the Senate amendment to H.R. 695, the Department of Defense Appropriations Act, 2018"
115,467,20-Dec,MOTION,On Motion to Table,P, 
115,466,20-Dec,S 3777,On Motion to Suspend the Rules and Pass,P,Forever GI Bill Housing Payment Fulfillment Act
115,465,20-Dec,S 3444,On Motion to Suspend the Rules and Pass,P,Community-based outpatient clinic of the Department of Veterans Affairs as the Douglas Fournet Department of Veterans Affairs Clinic
115,464,20-Dec,H R 6418,"On Motion to Suspend the Rules and Pass, as Amended",P,VA Website Accessibility Act
115,463,20-Dec,S 2322,On Motion to Suspend the Rules and Pass,F,Codifying Useful Regulatory Definitions Act
115,462,20-Dec,H R 767,On Motion to Suspend the Rules and Concur in the Senate Amendment,P,"Stop, Observe, Ask, and Respond to Health and Wellness Act"
115,461,20-Dec,S 2200,On Motion to Suspend the Rules and Pass,P,National Integrated Drought Information System Reauthorization Act
115,460,20-Dec,S 7,On Motion to Suspend the Rules and Pass,P,NASA Enhanced Use Leasing Extension Act
115,459,20-Dec,H R 5509,On Motion to Suspend the Rules and Concur in the Senate Amendment,P,"Innovations in Mentoring, Training, and Apprenticeships"
115,458,20-Dec,S 2765,On Motion to Suspend the Rules and Pass,P,RBIC Advisers Relief Act
115,457,20-Dec,S 2652,On Motion to Suspend the Rules and Pass,P,Stephen Michael Gleason Congressional Gold Medal Act
115,456,20-Dec,H R 4227,On Motion to Suspend the Rules and Concur in the Senate Amendments,P,Vehicular Terrorism Prevention Act of 2018
