names,descriptions,statuses,bill_committees,sponsors
H.R.2014,"Tax Pollution, Not Profits Act",Introduced,Ways and Means; Education and the Workforce,"Rep. Delaney, John K. [D-MD-6]"
H.R.2013,Growing and Reviving Rural Economies Through Transitioning HUBZone Redesignation Act of 2017,Introduced,Small Business,"Rep. Delaney, John K. [D-MD-6]"
H.R.2012,Fracturing Responsibility and Awareness of Chemicals Act of 2017,Introduced,Energy and Commerce,"Rep. DeGette, Diana [D-CO-1]"
H.R.2011,Carbon Capture Improvement Act of 2017,Introduced,Ways and Means,"Rep. Curbelo, Carlos [R-FL-26]"
H.R.2010,CO2 Regulatory Certainty Act,Introduced,Ways and Means,"Rep. Cramer, Kevin [R-ND-At Large]"
H.R.2009,Fostering Innovation in Medical Imaging Act of 2017,Introduced,Energy and Commerce,"Rep. Costello, Ryan A. [R-PA-6]"
H.R.2008,Kids First Research Act 2.0,Introduced,Ways and Means; Energy and Commerce; House Administration,"Rep. Comstock, Barbara [R-VA-10]"
H.R.2007,Kids Before Cons Act,Introduced,Education and the Workforce,"Rep. Collins, Chris [R-NY-27]"
H.R.2006,VA Procurement Efficiency and Transparency Act,Passed House,Veterans' Affairs | Senate,"Rep. Coffman, Mike [R-CO-6]"
H.R.2005,Offshoring Prevention Act,Introduced,Ways and Means,"Rep. Cicilline, David N. [D-RI-1]"
H.R.2004,Strengthen Employment And Seasonal Opportunities Now (SEASON) Act,Introduced,Judiciary; Ways and Means,"Rep. Chabot, Steve [R-OH-1]"
H.R.2003,Pre-K for USA Act,Introduced,Education and the Workforce,"Rep. Castro, Joaquin [D-TX-20]"
H.R.2002,Florida Coastal Protection Act,Introduced,Natural Resources,"Rep. Castor, Kathy [D-FL-14]"
H.R.2001,FRESHER Act of 2017,Introduced,Transportation and Infrastructure,"Rep. Cartwright, Matt [D-PA-17]"
H.R.2000,CLEANER Act of 2017,Introduced,Energy and Commerce,"Rep. Cartwright, Matt [D-PA-17]"
H.R.1999,Federal Budget Accountability Act,Introduced,Budget,"Rep. Buck, Ken [R-CO-4]"
H.R.1998,"To direct the Secretary of Veterans Affairs to notify the Committees on Veterans' Affairs of the Senate and the House of Representatives and certain Members of Congress before the expiration or termination of a HUD-VASH contract, and for other purposes.",Introduced,Veterans' Affairs,"Rep. Boyle, Brendan F. [D-PA-13]"
