names,descriptions,statuses,bill_committees,sponsors
S.3805,Malicious Deep Fake Prohibition Act of 2018,Introduced,Judiciary,"Sen. Sasse, Ben  [R-NE]"
S.3804,"A bill to reinstate the taxation of foreign oil related income, and for other purposes.",Introduced,Finance,"Sen. Duckworth, Tammy [D-IL]"
S.3803,Emery County Public Land Management Act of 2018,Introduced,Energy and Natural Resources,"Sen. Hatch, Orrin G. [R-UT]"
S.3802,EARNS Act,Introduced,"Health, Education, Labor, and Pensions","Sen. Murray, Patty [D-WA]"
S.3801,End Palestinian Terror Salaries Act of 2018,Introduced,"Banking, Housing, and Urban Affairs","Sen. Cruz, Ted [R-TX]"
S.3800,"A bill to designate the United States courthouse located at 351 South West Temple in Salt Lake City, Utah, as the ""Orrin G. Hatch United States Courthouse"".",Passed Senate,12/20/2018 Held at the desk. (All Actions),"Sen. McConnell, Mitch [R-KY]"
S.3799,National Aeronautics and Space Administration Authorization Act of 2018,Introduced,"Commerce, Science, and Transportation","Sen. Cruz, Ted [R-TX]"
S.3798,Shut Down Child Prison Camps Act,Introduced,Judiciary,"Sen. Merkley, Jeff [D-OR]"
S.3797,Mental Health Telemedicine Expansion Act,Introduced,Finance,"Sen. Harris, Kamala D. [D-CA]"
S.3796,Mental Health Professionals Workforce Shortage Loan Repayment Act,Introduced,"Health, Education, Labor, and Pensions","Sen. Harris, Kamala D. [D-CA]"
S.3795,Receiving Electronic Statements To Improve Retiree Earnings Act,Introduced,"Health, Education, Labor, and Pensions","Sen. Brown, Sherrod [D-OH]"
S.3794,VA Procurement Efficiency and Transparency Act,Introduced,Veterans' Affairs,"Sen. Gardner, Cory [R-CO]"
S.3793,Sports Wagering Market Integrity Act of 2018,Introduced,Judiciary,"Sen. Hatch, Orrin G. [R-UT]"
S.3792,Preserve Access to Affordable Generics and Biosimilars Act,Introduced,Judiciary,"Sen. Klobuchar, Amy [D-MN]"
S.3791,Energy Innovation and Carbon Dividend Act of 2018,Introduced,Finance,"Sen. Coons, Christopher A. [D-DE]"
S.3790,Rodchenkov Anti-Doping Act of 2018,Introduced,"Commerce, Science, and Transportation","Sen. Whitehouse, Sheldon [D-RI]"
S.3789,"A bill to provide for certain water resources development activities of the Corps of Engineers, and for other purposes.",Introduced,Environment and Public Works,"Sen. Kennedy, John [R-LA]"
S.3788,"A bill to require studies on cyberexploitation of employees of certain Federal departments and their families, and for other purposes.",Introduced,Homeland Security and Governmental Affairs,"Sen. Sasse, Ben  [R-NE]"
S.3787,DISARM Act of 2018,Introduced,Finance,"Sen. Hatch, Orrin G. [R-UT]"
S.3786,"A bill to require the Secretary of Defense to conduct a study on cyberexploitation of members of the Armed Forces and their families, and for other purposes.",Introduced,Armed Services,"Sen. Sasse, Ben  [R-NE]"
S.3785,No Nuclear Weapons for Saudi Arabia Act of 2018,Introduced,Foreign Relations,"Sen. Markey, Edward J. [D-MA]"
S.3784,Investing in Tomorrow's Workforce Act of 2018,Introduced,"Health, Education, Labor, and Pensions","Sen. Durbin, Richard J. [D-IL]"
S.3783,Community College Student Success Act,Introduced,"Health, Education, Labor, and Pensions","Sen. Schatz, Brian [D-HI]"
S.3782,Competitive Health Insurance Reform Act of 2018,Introduced,Judiciary,"Sen. Daines, Steve [R-MT]"
S.3781,Retirement Security and Savings Act of 2018,Introduced,Finance,"Sen. Portman, Rob [R-OH]"
S.3780,KITTEN Act of 2018,Introduced,"Agriculture, Nutrition, and Forestry","Sen. Merkley, Jeff [D-OR]"
S.3779,WHERA Act,Introduced,Environment and Public Works,"Sen. Carper, Thomas R. [D-DE]"
S.3778,Retain Innovation and Manufacturing Excellence (RIME) Act of 2018,Introduced,"Commerce, Science, and Transportation","Sen. Whitehouse, Sheldon [D-RI]"
S.3777,Forever GI Bill Housing Payment Fulfillment Act of 2018,Became Law,422. (TXT | PDF) (All Actions),"Sen. Boozman, John [R-AR]"
S.3776,MOMMA's Act,Introduced,Finance,"Sen. Durbin, Richard J. [D-IL]"
S.3775,Affordable Drug Manufacturing Act of 2018,Introduced,"Health, Education, Labor, and Pensions","Sen. Warren, Elizabeth [D-MA]"
S.3774,"A bill to amend title 10, United States Code, to establish the position of Assistant Secretary of Defense for Space, and for other purposes.",Introduced,Armed Services,"Sen. Cruz, Ted [R-TX]"
S.3773,Primate Protection and Research Modernization Act of 2018,Introduced,"Commerce, Science, and Transportation","Sen. Booker, Cory A. [D-NJ]"
S.3772,Retirement Fairness Act,Introduced,Finance,"Sen. Merkley, Jeff [D-OR]"
S.3771,Retirement Parity for Student Loans Act,Introduced,Finance,"Sen. Wyden, Ron [D-OR]"
S.3770,Medicaid Drug Decisions Transparency Act,Introduced,Finance,"Sen. Booker, Cory A. [D-NJ]"
S.3769,Early Pell Promise Act,Introduced,"Health, Education, Labor, and Pensions","Sen. Stabenow, Debbie [D-MI]"
S.3768,Critical Access Hospital Relief Act of 2018,Introduced,Finance,"Sen. Roberts, Pat [R-KS]"
S.3767,Transparency in Federal Spending Act of 2018,Introduced,Homeland Security and Governmental Affairs,"Sen. Merkley, Jeff [D-OR]"
S.3766,American Opportunity Accounts Act,Introduced,Finance,"Sen. Booker, Cory A. [D-NJ]"
S.3765,"A bill to require the Secretary of Commerce, acting through the Director of the National Institute of Standards and Technology, to help facilitate the adoption of composite technology in infrastructure in the United States, and for other purposes.",Introduced,"Commerce, Science, and Transportation","Sen. Capito, Shelley Moore [R-WV]"
S.3764,Prohibit Chlorpyrifos Poisoning Students Act of 2018,Introduced,"Agriculture, Nutrition, and Forestry","Sen. Schatz, Brian [D-HI]"
S.3763,SAFE Hospitals Act of 2018,Introduced,Finance,"Sen. Rubio, Marco [R-FL]"
S.3762,Protecting Financial Aid for Students and Taxpayers Act,Introduced,"Health, Education, Labor, and Pensions","Sen. Brown, Sherrod [D-OH]"
S.3761,Fuel Choice and Deregulation Act of 2018,Introduced,Environment and Public Works,"Sen. Paul, Rand [R-KY]"
S.3760,Defense of Environment and Property Act of 2018,Introduced,Environment and Public Works,"Sen. Paul, Rand [R-KY]"
S.3759,Venezuela TPS Act of 2018,Introduced,Foreign Relations,"Sen. Menendez, Robert [D-NJ]"
S.3758,Blocking Iranian Illicit Finance Act,Introduced,"Banking, Housing, and Urban Affairs","Sen. Cruz, Ted [R-TX]"
S.3757,Big Oil Bailout Prevention Unlimited Liability Act of 2018,Introduced,Environment and Public Works,"Sen. Menendez, Robert [D-NJ]"
S.3756,Big Oil Bailout Prevention Trust Fund Act of 2018,Introduced,Finance,"Sen. Menendez, Robert [D-NJ]"
S.3755,Background Investigation Authorization Demonstration Act,Introduced,Indian Affairs,"Sen. Hoeven, John [R-ND]"
S.3754,CURE High Drug Prices Act,Introduced,"Health, Education, Labor, and Pensions","Sen. Blumenthal, Richard [D-CT]"
S.3753,Forest Management for Rural Stability Act,Introduced,Judiciary,"Sen. Wyden, Ron [D-OR]"
S.3752,Standing Rock Sioux Tribe Land Restoration Act of 2018,Introduced,Environment and Public Works,"Sen. Heitkamp, Heidi [D-ND]"
S.3751,SEE MORE Act,Introduced,Finance,"Sen. Casey, Robert P., Jr. [D-PA]"
S.3750,Common Sense Credit Union Capital Relief Act of 2018,Introduced,"Banking, Housing, and Urban Affairs","Sen. Rounds, Mike  [R-SD]"
S.3749,Congressional Accountability Act of 1995 Reform Act,Became Law,397. (TXT | PDF) (All Actions),"Sen. Klobuchar, Amy [D-MN]"
S.3748,Improving the Inspector General Process for Legislative Branch Instrumentalities Act,Passed Senate,12/13/2018 Held at the desk. (All Actions),"Sen. Blunt, Roy [R-MO]"
S.3747,First Step Act of 2018,Introduced,12/13/2018 Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 731. (All Actions),"Sen. Grassley, Chuck [R-IA]"
S.3746,Fairness for Crime Victims Act of 2018,Introduced,Budget,"Sen. Toomey, Pat [R-PA]"
S.3745,Youth Financial Learning Act,Introduced,"Health, Education, Labor, and Pensions","Sen. Jones, Doug  [D-AL]"
S.3744,Data Care Act of 2018,Introduced,"Commerce, Science, and Transportation","Sen. Schatz, Brian [D-HI]"
S.3743,DEFEND Act,Introduced,Judiciary,"Sen. Harris, Kamala D. [D-CA]"
S.3742,Cancer Drug Parity Act of 2018,Introduced,"Health, Education, Labor, and Pensions","Sen. Smith, Tina  [D-MN]"
S.3741,Social Security Disability Protection Act,Introduced,Finance,"Sen. Casey, Robert P., Jr. [D-PA]"
S.3740,SEAL Act,Introduced,"Commerce, Science, and Transportation","Sen. Murkowski, Lisa [R-AK]"
S.3739,Arctic Policy Act of 2018,Introduced,"Commerce, Science, and Transportation","Sen. Murkowski, Lisa [R-AK]"
S.3738,Hatch-Waxman Integrity Act of 2018,Introduced,"Health, Education, Labor, and Pensions","Sen. Hatch, Orrin G. [R-UT]"
S.3737,Veterans Affairs Medical-Surgical Purchasing Stabilization Act,Introduced,Veterans' Affairs,"Sen. Cassidy, Bill [R-LA]"
S.3736,A bill to amend Rule 611 of the Federal Rules of Evidence to prohibit cross-examination by the accused of minor victims of sexual assault.,Introduced,Judiciary,"Sen. Flake, Jeff [R-AZ]"
S.3735,SuperPAC Elimination Act of 2018,Introduced,Rules and Administration,"Sen. Cruz, Ted [R-TX]"
S.3734,Unsolicited Loan Act of 2018,Introduced,"Banking, Housing, and Urban Affairs","Sen. Jones, Doug  [D-AL]"
S.3733,Protection of Source Code Act,Introduced,"Banking, Housing, and Urban Affairs","Sen. Perdue, David [R-GA]"
S.3732,Protection of Source Code Act,Introduced,"Agriculture, Nutrition, and Forestry","Sen. Perdue, David [R-GA]"
S.3731,BUILD Act,Introduced,"Banking, Housing, and Urban Affairs","Sen. Fischer, Deb [R-NE]"
S.3730,RISE Act,Introduced,Finance,"Sen. Booker, Cory A. [D-NJ]"
S.3729,United States Cadet Nurse Corps Service Recognition Act of 2018,Introduced,Veterans' Affairs,"Sen. Warren, Elizabeth [D-MA]"
S.3728,Exercise and Fitness for All Act,Introduced,Finance,"Sen. Duckworth, Tammy [D-IL]"
S.3727,Good Samaritan Remediation of Orphan Hardrock Mines Act of 2018,Introduced,Environment and Public Works,"Sen. Gardner, Cory [R-CO]"
S.3726,Protect Affordable Mortgages for Veterans Act of 2018,Introduced,"Banking, Housing, and Urban Affairs","Sen. Klobuchar, Amy [D-MN]"
S.3725,Online Sales Simplicity and Small Business Relief Act of 2018,Introduced,Finance,"Sen. Shaheen, Jeanne [D-NH]"
S.3724,Modernizing the Trusted Workforce for the 21st Century Act of 2018,Introduced,Intelligence,"Sen. Warner, Mark R. [D-VA]"
S.3723,Main Street Growth Act,Introduced,"Banking, Housing, and Urban Affairs","Sen. Kennedy, John [R-LA]"
S.3722,Prevention of Private Information Dissemination Act of 2018,Introduced,"Banking, Housing, and Urban Affairs","Sen. Kennedy, John [R-LA]"
S.3721,"A bill to amend title 11, United States Code, with respect to the definition of the term ""family farmer"".",Introduced,Judiciary,"Sen. Grassley, Chuck [R-IA]"
S.3720,Community Health and Clean Transit Act of 2018,Introduced,"Commerce, Science, and Transportation; Banking, Housing, and Urban Affairs","Sen. Merkley, Jeff [D-OR]"
S.3719,Missing Persons and Unidentified Remains Act of 2018,Introduced,Judiciary,"Sen. Cornyn, John [R-TX]"
S.3718,Ban Conflicted Trading Act,Introduced,Homeland Security and Governmental Affairs,"Sen. Merkley, Jeff [D-OR]"
S.3717,Small Business Lending Fairness Act,Introduced,"Banking, Housing, and Urban Affairs","Sen. Brown, Sherrod [D-OH]"
S.3716,REDUCE Government Waste Act,Introduced,"Agriculture, Nutrition, and Forestry","Sen. Flake, Jeff [R-AZ]"
S.3715,Wildlife Corridors Conservation Act of 2018,Introduced,Environment and Public Works,"Sen. Udall, Tom [D-NM]"
S.3714,Ashanti Alert Act of 2018,Introduced,Judiciary,"Sen. Warner, Mark R. [D-VA]"
S.3713,WALL Act of 2018,Introduced,Finance,"Sen. Inhofe, James M. [R-OK]"
S.3712,LIFT (Livable Incomes for Families Today) the Middle Class Act,Introduced,Finance,"Sen. Harris, Kamala D. [D-CA]"
S.3711,Opioid Treatment Surge Act,Introduced,"Health, Education, Labor, and Pensions","Sen. Merkley, Jeff [D-OR]"
S.3710,Write the Laws Act,Introduced,Homeland Security and Governmental Affairs,"Sen. Paul, Rand [R-KY]"
S.3709,Read the Bills Act,Introduced,Rules and Administration,"Sen. Paul, Rand [R-KY]"
S.3708,One Subject at a Time Act,Introduced,Rules and Administration,"Sen. Paul, Rand [R-KY]"
S.3707,Public-Private Cybersecurity Cooperation Act,Introduced,Homeland Security and Governmental Affairs,"Sen. Portman, Rob [R-OH]"
S.3706,United States Ports of Entry Threat and Operational Review Act,Introduced,Homeland Security and Governmental Affairs,"Sen. Cornyn, John [R-TX]"
