session,roll_num,date,issue,question,result,title
115,217,17-May,H R 5,On Passage,P,Equality Act
115,216,17-May,H R 5,On Motion to Recommit with Instructions,F,Equality Act
115,215,17-May,JOURNAL,On Approving the Journal,P, 
115,214,16-May,H R 987,On Passage,P,MORE Health Education Act
115,213,16-May,H R 987,On Motion to Recommit with Instructions,F,MORE Health Education Act
115,212,16-May,H R 987,On Agreeing to the Amendment,A,Wexton of Virginia Amendment No. 21
115,211,16-May,H R 987,On Agreeing to the Amendment,A,Harder of California Amendment No. 6
115,210,16-May,H R 987,On Agreeing to the Amendment,F,McKinley of West Virginia Amendment No. 2
115,209,15-May,H R 1892,On Motion to Suspend the Rules and Pass,P,Quadrennial Homeland Security Review Technical Corrections Act
115,208,15-May,H R 375,On Motion to Suspend the Rules and Pass,P,"To amend the Act of June 18, 1934, to reaffirm the authority of the Secretary of the Interior to take land into trust for Indian Tribes, and for other purposes"
115,207,15-May,H R 312,On Passage,P,Mashpee Wampanoag Tribe Reservation Reaffirmation Act
115,206,15-May,H RES 377,On Agreeing to the Resolution,P,"Providing for consideration of the bill (H.R. 5) Equality Act, providing for consideration of the bill (H.R. 312) Mashpee Wampanoag Tribe Reservation Reaffirmation Act, and providing for consideration of (H.R. 987) Strengthening Health Care and Lowering Prescription Drug Costs Act"
115,205,15-May,H RES 377,On Ordering the Previous Question,P,"Providing for consideration of the bill (H.R. 5) Equality Act, providing for consideration of the bill (H.R. 312) Mashpee Wampanoag Tribe Reservation Reaffirmation Act, and providing for consideration of (H.R. 987) Strengthening Health Care and Lowering Prescription Drug Costs Act"
115,204,14-May,H R 2379,"On Motion to Suspend the Rules and Pass, as Amended",P,To reauthorize the Bulletproof Vest Partnership Grant Program.
115,203,14-May,H R 299,"On Motion to Suspend the Rules and Pass, as Amended",P,Blue Water Navy Vietnam Veterans Act
115,202,10-May,H R 2157,On Passage,P,"Making supplemental appropriations for the fiscal year ending September 30, 2019, and for other purposes"
115,201,10-May,H R 2157,On Motion to Recommit with Instructions,F,"Making supplemental appropriations for the fiscal year ending September 30, 2019, and for other purposes"
115,200,10-May,H R 2157,On Agreeing to the Amendment,A,Fletcher of Texas Part C Amendment No. 8
115,199,10-May,H R 2157,On Agreeing to the Amendment,A,Huffman of California Part C Amendment No. 6
115,198,10-May,H R 2157,On Agreeing to the Amendment,A,Sablan of Northern Mariana Islands Part C Amendment No. 3
115,197,10-May,H R 2157,On Agreeing to the Amendment,A,Perlmutter of Colorado Part C Amendment No. 1
115,196,9-May,H R 986,On Passage,P,Protecting Americans with Preexisting Conditions Act
115,195,9-May,H R 986,On Motion to Recommit with Instructions,F,Protecting Americans with Preexisting Conditions Act
115,194,9-May,H R 986,On Agreeing to the Amendment,A,Wild of Pennsylvania Part A Amendment No. 12
115,193,9-May,H R 986,On Agreeing to the Amendment,A,Malinowski of New Jersey Part A Amendment No. 11
115,192,9-May,H R 986,On Agreeing to the Amendment,F,Holding of North Carolina Part A Amendment No. 7
115,191,9-May,H R 986,On Agreeing to the Amendment,A,Brown of Maryland Part A Amendment No. 2
115,190,9-May,H RES 357,On Agreeing to the Resolution,P,"Providing for consideration of the bill (H.R. 986) Protecting Americans with Preexisting Conditions Act, and providing for consideration of the bill (H.R. 2157) making supplemental appropriations for fiscal year ending September 30, 2019, and for other purposes"
115,189,9-May,H RES 357,On Ordering the Previous Question,P,"Providing for consideration of the bill (H.R. 986) Protecting Americans with Preexisting Conditions Act, and providing for consideration of the bill (H.R. 2157) making supplemental appropriations for fiscal year ending September 30, 2019, and for other purposes"
115,188,8-May,H R 1520,"On Motion to Suspend the Rules and Pass, as Amended",P,Purple Book Continuity Act
115,187,8-May,H R 1503,"On Motion to Suspend the Rules and Pass, as Amended",P,Orange Book Transparency Act
115,186,7-May,H R 1704,On Motion to Suspend the Rules and Pass,P,Championing American Business Through Diplomacy Act
115,185,7-May,H RES 273,On Motion to Suspend the Rules and Agree,P,Reaffirming the United States commitment to Taiwan and to the implementation of the Taiwan Relations Act
115,184,2-May,H R 9,On Passage,P,Climate Action Now Act
115,183,2-May,H R 9,On Motion to Recommit with Instructions,F,Climate Action Now Act
115,182,2-May,H R 9,On Agreeing to the Amendment,A,Engel of New York Amendment No. 29
115,181,2-May,H R 9,On Agreeing to the Amendment,A,Van Drew of New Jersey Amendment No. 26
115,180,2-May,H R 9,On Agreeing to the Amendment,A,Schrier of Washington Amendment No. 24
115,179,2-May,H R 9,On Agreeing to the Amendment,A,Fletcher of Texas Amendment No. 22
115,178,2-May,H R 9,On Agreeing to the Amendment,A,Porter of California Amendment No. 19
115,177,2-May,H R 9,On Agreeing to the Amendment,F,Gosar of Arizona Amendment No. 11
115,176,2-May,H R 9,On Agreeing to the Amendment,F,Gosar of Arizona Amendment No. 10
115,175,2-May,H R 9,On Agreeing to the Amendment,A,Espaillat of New York Amendment No. 2
115,174,1-May,H RES 304,On Motion to Table,P,Raising a question of the privileges of the House
115,173,1-May,H RES 329,On Agreeing to the Resolution,P,"Providing for consideration of the bill (H.R. 9) to direct the President to develop a plan for the United States to meet its nationally determined contribution under the Paris Agreement, and for other purposes"
115,172,1-May,H RES 329,On Ordering the Previous Question,P,"Providing for consideration of the bill (H.R. 9) to direct the President to develop a plan for the United States to meet its nationally determined contribution under the Paris Agreement, and for other purposes"
115,171,30-Apr,H RES 328,On Motion to Suspend the Rules and Agree,P,Supporting the protection of elders through financial literacy
115,170,30-Apr,H R 1876,On Motion to Suspend the Rules and Pass,P,National Senior Investor Initiative Act
115,169,29-Apr,JOURNAL,On Approving the Journal,P, 
