names,descriptions,statuses,bill_committees,sponsors
S.1564,Continued Encouragement for Consumer Lending Act,Introduced,"Banking, Housing, and Urban Affairs",Thom Tillis
S.1563,Janey Ensminger Act of 2019,Introduced,Veterans' Affairs,Richard Burr
S.1562,Foreign Influence Reporting in Elections Act,Introduced,Rules and Administration,Mark R. Warner
S.1561,Accountability for Care of Unaccompanied Alien Children Act of 2019,Introduced,Judiciary,Marsha Blackburn
S.1560,Safe Helicopters Now Act,Introduced,Finance,Cory Gardner
S.1559,Fly Smart Act,Introduced,Homeland Security and Governmental Affairs,Jeff Merkley
S.1558,Artificial Intelligence Initiative Act,Introduced,"Commerce, Science, and Transportation",Martin Heinrich
S.1557,Reverse Mass Incarceration Act of 2019,Introduced,Judiciary,Cory A. Booker
S.1556,No Junk Plans Act,Introduced,"Health, Education, Labor, and Pensions",Tammy Baldwin
S.1555,IMPROVE Transition for Servicemembers Act,Introduced,Armed Services,Mike Crapo
S.1554,Adoptee Citizenship Act of 2019,Introduced,Judiciary,Roy Blunt
S.1553,End the Threat of Default Act,Introduced,Finance,Brian Schatz
S.1552,Marijuana Freedom and Opportunity Act,Introduced,Judiciary,Charles E. Schumer
S.1551,Creating Pathways for Youth Employment Act,Introduced,"Health, Education, Labor, and Pensions",Richard J. Durbin
S.1550,Helping to Encourage Real Opportunities (HERO) for At-Risk Youth Act of 2019,Introduced,Finance,Richard J. Durbin
S.1549,Labor Leave Act,Introduced,"Health, Education, Labor, and Pensions",Jon Tester
S.1548,Prohibiting Incentives for Corporations that Kickout Employees Tax (PICKET) Act,Introduced,Finance,Jon Tester
S.1547,Restoring the Armed Career Criminal Act,Introduced,Judiciary,Tom Cotton
S.1546,Enhancing the Strength and Capacity of America's Primary Evacuation routes Act,Introduced,"Commerce, Science, and Transportation",Edward J. Markey
S.1545,Fallen Warrior Battlefield Cross Memorial Act of 2019,Introduced,Veterans' Affairs,Rob Portman
S.1544,Medicare Access to Radiology Care Act of 2019,Introduced,Finance,John Boozman
S.1543,Travel Trailer and Camper Tax Parity Act,Introduced,Finance,Joni Ernst
S.1542,"A bill to amend title 37, United States Code, to standardize payment of hazardous duty incentive pay for members performing parachute jumping as an essential part of military duty, and for other purposes.",Introduced,Armed Services,Joe Manchin III
S.1541,Tobacco-Free Youth Act,Introduced,"Health, Education, Labor, and Pensions",Mitch McConnell
S.1540,Election Security Act of 2019,Introduced,Rules and Administration,Amy Klobuchar
S.1539,Protecting Faith-Based and Nonprofit Organizations From Terrorism Act of 2019,Introduced,Homeland Security and Governmental Affairs,Rob Portman
S.1538,Civilian Property Realignment Act of 2019,Introduced,Environment and Public Works,Mark R. Warner
S.1537,Lifesaving Gear for Police Act,Introduced,Homeland Security and Governmental Affairs,Pat Toomey
S.1536,Age-Friendly Communities Act of 2019,Introduced,"Health, Education, Labor, and Pensions",Gary C. Peters
S.1535,Reinventing Economic Partnerships And Infrastructure Redevelopment Act,Introduced,Finance,Mark R. Warner
S.1534,"A bill to require the Secretary of Defense to conduct an assessment of quantum computing technology to address problems associated with exposure to PFAS, and for other purposes.",Introduced,Armed Services,Gary C. Peters
S.1533,National Flood Insurance Program Extension Act,Introduced,"Banking, Housing, and Urban Affairs",John Kennedy
S.1532,Pharmacy Benefit Manager Accountability Study Act of 2019,Introduced,"Health, Education, Labor, and Pensions",Marsha Blackburn
S.1531,Stopping The Outrageous Practice of Surprise Medical Bills Act of 2019,Introduced,"Health, Education, Labor, and Pensions",Bill Cassidy
S.1530,Youth Access to Sexual Health Services Act of 2019,Introduced,"Health, Education, Labor, and Pensions",Mazie K. Hirono
