names,descriptions,statuses,bill_committees,sponsors
S.2480,PILT Reauthorization Act of 2019,Introduced,Energy and Natural Resources,"Sen. Wyden, Ron [D-OR]"
S.2479,"A bill to provide clarification regarding the common or usual name for bison and compliance with section 403 of the Federal Food, Drug, and Cosmetic Act, and for other purposes.",Introduced,"Health, Education, Labor, and Pensions","Sen. Hoeven, John [R-ND]"
S.2478,Bahamas Temporary Protected Status Act of 2019,Introduced,Judiciary,"Sen. Menendez, Robert [D-NJ]"
S.2477,National Commission on Scleroderma and Fibrotic Diseases Act of 2019,Introduced,"Health, Education, Labor, and Pensions","Sen. Gillibrand, Kirsten E. [D-NY]"
S.2476,Hurricane Dorian Charitable Giving Act,Introduced,Finance,"Sen. Scott, Rick  [R-FL]"
S.2475,"A bill to modify the effective date for inclusion of certain members of the Armed Forces serving on active duty in the Yellow Ribbon G.I. Education Enhancement Program, and for other purposes.",Introduced,Veterans' Affairs,"Sen. Cotton, Tom [R-AR]"
S.2474,"Department of Defense Appropriations Act, 2020",Introduced,Appropriations,"Sen. Shelby, Richard C. [R-AL]"
S.2473,Extension of the Caribbean Basin Economic Recovery Act,Introduced,Finance,"Sen. Isakson, Johnny [R-GA]"
S.2472,Neil A. Armstrong Test Facility Act,Introduced,"Commerce, Science, and Transportation","Sen. Portman, Rob [R-OH]"
S.2471,Degrees Not Debt Act of 2019,Introduced,Finance,"Sen. Heinrich, Martin [D-NM]"
S.2470,"Energy and Water Development and Related Agencies Appropriations Act, 2020",Introduced,Appropriations,"Sen. Alexander, Lamar [R-TN]"
S.2469,METHANE Act,Introduced,"Commerce, Science, and Transportation","Sen. Udall, Tom [D-NM]"
S.2468,Workers' Right to Training Act,Introduced,Finance,"Sen. Brown, Sherrod [D-OH]"
S.2467,Transit to Trails Act,Introduced,"Commerce, Science, and Transportation","Sen. Booker, Cory A. [D-NJ]"
S.2466,Water Justice Act,Introduced,Finance,"Sen. Harris, Kamala D. [D-CA]"
S.2465,Cormorant Relief Act,Introduced,Environment and Public Works,"Sen. Cotton, Tom [R-AR]"
S.2464,Nationwide Injunction Abuse Prevention Act of 2019,Introduced,Judiciary,"Sen. Cotton, Tom [R-AR]"
S.2463,E-Cigarette Tax Parity Act,Introduced,Finance,"Sen. Wyden, Ron [D-OR]"
S.2462,Low-Income Solar Energy Act,Introduced,Energy and Natural Resources,"Sen. Duckworth, Tammy [D-IL]"
S.2461,Arctic Refuge Protection Act of 2019,Introduced,Environment and Public Works,"Sen. Markey, Edward J. [D-MA]"
S.2460,SAND Act,Introduced,Environment and Public Works,"Sen. Rubio, Marco [R-FL]"
S.2459,Justice for Servicemembers Act,Introduced,Veterans' Affairs,"Sen. Murkowski, Lisa [R-AK]"
S.2458,America Grows Act of 2019,Introduced,Budget,"Sen. Durbin, Richard J. [D-IL]"
S.2457,Federal Jobs Guarantee Development Act of 2019,Introduced,Finance,"Sen. Booker, Cory A. [D-NJ]"
S.2456,Clean Water Through Green Infrastructure Act,Introduced,Environment and Public Works,"Sen. Udall, Tom [D-NM]"
S.2455,National Historic Vehicle Register Act of 2019,Introduced,Energy and Natural Resources,"Sen. Peters, Gary C. [D-MI]"
