Name,State,District,Party,Terms
Debbie Dingell,MI,12.0,D,House: 2015-Present
Lloyd Doggett,TX,35.0,D,House: 1995-Present
Daniel M. Donovan Jr.,NY,11.0,R,House: 2015-2019
Michael F. Doyle,PA,18.0,D,House: 1995-Present
Sean P. Duffy,WI,7.0,R,House: 2011-2019
Jeff Duncan,SC,3.0,R,House: 2011-Present
John J. Duncan Jr.,TN,2.0,R,House: 1987-2019
Neal P. Dunn,FL,2.0,R,House: 2017-Present
Keith Ellison,MN,5.0,D,House: 2007-2019
Tom Emmer,MN,6.0,R,House: 2015-Present
Eliot L. Engel,NY,16.0,D,House: 1989-Present
Anna G. Eshoo,CA,18.0,D,House: 1993-Present
Adriano Espaillat,NY,13.0,D,House: 2017-Present
Ron Estes,KS,4.0,R,House: 2017-Present
Elizabeth H. Esty,CT,5.0,D,House: 2013-2019
Dwight Evans,PA,3.0,D,House: 2016-Present
Blake Farenthold,TX,27.0,R,House: 2011-2018
John J. Faso,NY,19.0,R,House: 2017-2019
A. Drew Ferguson IV,GA,3.0,R,House: 2017-Present
Brian K. Fitzpatrick,PA,1.0,R,House: 2017-Present
"Charles J. ""Chuck"" Fleischmann",TN,3.0,R,House: 2011-Present
Bill Flores,TX,17.0,R,House: 2011-Present
Jeff Fortenberry,NE,1.0,R,House: 2005-Present
Bill Foster,IL,11.0,D,"House: 2008-2011, 2013-Present"
Virginia Foxx,NC,5.0,R,House: 2005-Present
Lois Frankel,FL,21.0,D,House: 2013-Present
Trent Franks,AZ,8.0,R,House: 2003-2017
Rodney P. Frelinghuysen,NJ,11.0,R,House: 1995-2019
Marcia L. Fudge,OH,11.0,D,House: 2008-Present
Tulsi Gabbard,HI,2.0,D,House: 2013-Present
Matt Gaetz,FL,1.0,R,House: 2017-Present
Mike Gallagher,WI,8.0,R,House: 2017-Present
Ruben Gallego,AZ,7.0,D,House: 2015-Present
John Garamendi,CA,3.0,D,House: 2009-Present
Thomas A. Garrett Jr.,VA,5.0,R,House: 2017-2019
Greg Gianforte,MT,At Large,R,House: 2017-Present
Bob Gibbs,OH,7.0,R,House: 2011-Present
Louie Gohmert,TX,1.0,R,House: 2005-Present
Jimmy Gomez,CA,34.0,D,House: 2017-Present
Vicente Gonzalez,TX,15.0,D,House: 2017-Present
Jenniffer Gonzalez-Colon,,At Large,R,House: 2017-Present
Bob Goodlatte,VA,6.0,R,House: 1993-2019
Paul A. Gosar,AZ,4.0,R,House: 2011-Present
Josh Gottheimer,NJ,5.0,D,House: 2017-Present
Trey Gowdy,SC,4.0,R,House: 2011-2019
Kay Granger,TX,12.0,R,House: 1997-Present
Garret Graves,LA,6.0,R,House: 2015-Present
Sam Graves,MO,6.0,R,House: 2001-Present
Tom Graves,GA,14.0,R,House: 2010-Present
Al Green,TX,9.0,D,House: 2005-Present
Gene Green,TX,29.0,D,House: 1993-2019
H. Morgan Griffith,VA,9.0,R,House: 2011-Present
Raul M. Grijalva,AZ,3.0,D,House: 2003-Present
Glenn Grothman,WI,6.0,R,House: 2015-Present
Brett Guthrie,KY,2.0,R,House: 2009-Present
Luis V. Gutierrez,IL,4.0,D,House: 1993-2019
Colleen Hanabusa,HI,1.0,D,House: 2011-2019
Karen C. Handel,GA,6.0,R,House: 2017-2019
Gregg Harper,MS,3.0,R,House: 2009-2019
Andy Harris,MD,1.0,R,House: 2011-Present
Vicky Hartzler,MO,4.0,R,House: 2011-Present
Alcee L. Hastings,FL,20.0,D,House: 1993-Present
Denny Heck,WA,10.0,D,House: 2013-Present
Jeb Hensarling,TX,5.0,R,House: 2003-2019
Kevin Hern,OK,1.0,R,House: 2018-Present
Jaime Herrera Beutler,WA,3.0,R,House: 2011-Present
Jody B. Hice,GA,10.0,R,House: 2015-Present
Brian Higgins,NY,26.0,D,House: 2005-Present
Clay Higgins,LA,3.0,R,House: 2017-Present
J. French Hill,AR,2.0,R,House: 2015-Present
James A. Himes,CT,4.0,D,House: 2009-Present
George Holding,NC,2.0,R,House: 2013-Present
Trey Hollingsworth,IN,9.0,R,House: 2017-Present
Steny H. Hoyer,MD,5.0,D,House: 1981-Present
Richard Hudson,NC,8.0,R,House: 2013-Present
Jared Huffman,CA,2.0,D,House: 2013-Present
Bill Huizenga,MI,2.0,R,House: 2011-Present
Randy Hultgren,IL,14.0,R,House: 2011-2019
Duncan D. Hunter,CA,50.0,R,House: 2009-2020
Will Hurd,TX,23.0,R,House: 2015-Present
Darrell E. Issa,CA,49.0,R,House: 2001-2019
Sheila Jackson Lee,TX,18.0,D,House: 1995-Present
Pramila Jayapal,WA,7.0,D,House: 2017-Present
Hakeem S. Jeffries,NY,8.0,D,House: 2013-Present
Evan H. Jenkins,WV,3.0,R,House: 2015-2018
Lynn Jenkins,KS,2.0,R,House: 2009-2019
Bill Johnson,OH,6.0,R,House: 2011-Present
Eddie Bernice Johnson,TX,30.0,D,House: 1993-Present
"Henry C. ""Hank"" Johnson Jr.",GA,4.0,D,House: 2007-Present
Mike Johnson,LA,4.0,R,House: 2017-Present
Sam Johnson,TX,3.0,R,House: 1991-2019
Brenda Jones,MI,13.0,D,House: 2018-2019
Walter B. Jones Jr.,NC,3.0,R,House: 1995-2019
Jim Jordan,OH,4.0,R,House: 2007-Present
David P. Joyce,OH,14.0,R,House: 2013-Present
Marcy Kaptur,OH,9.0,D,House: 1983-Present
John Katko,NY,24.0,R,House: 2015-Present
William R. Keating,MA,9.0,D,House: 2011-Present
Mike Kelly,PA,16.0,R,House: 2011-Present
Robin L. Kelly,IL,2.0,D,House: 2013-Present
Trent Kelly,MS,1.0,R,House: 2015-Present
Joseph P. Kennedy III,MA,4.0,D,House: 2013-Present
Ro Khanna,CA,17.0,D,House: 2017-Present
Ruben J. Kihuen,NV,4.0,D,House: 2017-2019
