names,descriptions,statuses,bill_committees,sponsors
S.3805,Malicious Deep Fake Prohibition Act of 2018,Introduced,Judiciary,Ben Sasse
S.3804,"A bill to reinstate the taxation of foreign oil related income, and for other purposes.",Introduced,Finance,Tammy Duckworth
S.3803,Emery County Public Land Management Act of 2018,Introduced,Energy and Natural Resources,Orrin G. Hatch
S.3802,EARNS Act,Introduced,"Health, Education, Labor, and Pensions",Patty Murray
S.3801,End Palestinian Terror Salaries Act of 2018,Introduced,"Banking, Housing, and Urban Affairs",Ted Cruz
S.3800,"A bill to designate the United States courthouse located at 351 South West Temple in Salt Lake City, Utah, as the ""Orrin G. Hatch United States Courthouse"".",Passed Senate,12/20/2018 Held at the desk. (All Actions),Mitch McConnell
S.3799,National Aeronautics and Space Administration Authorization Act of 2018,Introduced,"Commerce, Science, and Transportation",Ted Cruz
S.3798,Shut Down Child Prison Camps Act,Introduced,Judiciary,Jeff Merkley
S.3797,Mental Health Telemedicine Expansion Act,Introduced,Finance,Kamala D. Harris
S.3796,Mental Health Professionals Workforce Shortage Loan Repayment Act,Introduced,"Health, Education, Labor, and Pensions",Kamala D. Harris
S.3795,Receiving Electronic Statements To Improve Retiree Earnings Act,Introduced,"Health, Education, Labor, and Pensions",Sherrod Brown
S.3794,VA Procurement Efficiency and Transparency Act,Introduced,Veterans'' Affairs,Cory Gardner
S.3793,Sports Wagering Market Integrity Act of 2018,Introduced,Judiciary,Orrin G. Hatch
S.3792,Preserve Access to Affordable Generics and Biosimilars Act,Introduced,Judiciary,Amy Klobuchar
S.3791,Energy Innovation and Carbon Dividend Act of 2018,Introduced,Finance,Christopher A. Coons
S.3790,Rodchenkov Anti-Doping Act of 2018,Introduced,"Commerce, Science, and Transportation",Sheldon Whitehouse
S.3789,"A bill to provide for certain water resources development activities of the Corps of Engineers, and for other purposes.",Introduced,Environment and Public Works,John Kennedy
S.3788,"A bill to require studies on cyberexploitation of employees of certain Federal departments and their families, and for other purposes.",Introduced,Homeland Security and Governmental Affairs,Ben Sasse
S.3787,DISARM Act of 2018,Introduced,Finance,Orrin G. Hatch
S.3786,"A bill to require the Secretary of Defense to conduct a study on cyberexploitation of members of the Armed Forces and their families, and for other purposes.",Introduced,Armed Services,Ben Sasse
S.3785,No Nuclear Weapons for Saudi Arabia Act of 2018,Introduced,Foreign Relations,Edward J. Markey
S.3784,Investing in Tomorrow''s Workforce Act of 2018,Introduced,"Health, Education, Labor, and Pensions",Richard J. Durbin
S.3783,Community College Student Success Act,Introduced,"Health, Education, Labor, and Pensions",Brian Schatz
S.3782,Competitive Health Insurance Reform Act of 2018,Introduced,Judiciary,Steve Daines
S.3781,Retirement Security and Savings Act of 2018,Introduced,Finance,Rob Portman
S.3780,KITTEN Act of 2018,Introduced,"Agriculture, Nutrition, and Forestry",Jeff Merkley
S.3779,WHERA Act,Introduced,Environment and Public Works,Thomas R. Carper
S.3778,Retain Innovation and Manufacturing Excellence (RIME) Act of 2018,Introduced,"Commerce, Science, and Transportation",Sheldon Whitehouse
S.3777,Forever GI Bill Housing Payment Fulfillment Act of 2018,Became Law,422. (TXT | PDF) (All Actions),John Boozman
S.3776,MOMMA''s Act,Introduced,Finance,Richard J. Durbin
S.3775,Affordable Drug Manufacturing Act of 2018,Introduced,"Health, Education, Labor, and Pensions",Elizabeth Warren
S.3774,"A bill to amend title 10, United States Code, to establish the position of Assistant Secretary of Defense for Space, and for other purposes.",Introduced,Armed Services,Ted Cruz
S.3773,Primate Protection and Research Modernization Act of 2018,Introduced,"Commerce, Science, and Transportation",Cory A. Booker
S.3772,Retirement Fairness Act,Introduced,Finance,Jeff Merkley
S.3771,Retirement Parity for Student Loans Act,Introduced,Finance,Ron Wyden
S.3770,Medicaid Drug Decisions Transparency Act,Introduced,Finance,Cory A. Booker
S.3769,Early Pell Promise Act,Introduced,"Health, Education, Labor, and Pensions",Debbie Stabenow
S.3768,Critical Access Hospital Relief Act of 2018,Introduced,Finance,Pat Roberts
S.3767,Transparency in Federal Spending Act of 2018,Introduced,Homeland Security and Governmental Affairs,Jeff Merkley
S.3766,American Opportunity Accounts Act,Introduced,Finance,Cory A. Booker
S.3765,"A bill to require the Secretary of Commerce, acting through the Director of the National Institute of Standards and Technology, to help facilitate the adoption of composite technology in infrastructure in the United States, and for other purposes.",Introduced,"Commerce, Science, and Transportation",Shelley Moore Capito
S.3764,Prohibit Chlorpyrifos Poisoning Students Act of 2018,Introduced,"Agriculture, Nutrition, and Forestry",Brian Schatz
S.3763,SAFE Hospitals Act of 2018,Introduced,Finance,Marco Rubio
S.3762,Protecting Financial Aid for Students and Taxpayers Act,Introduced,"Health, Education, Labor, and Pensions",Sherrod Brown
S.3761,Fuel Choice and Deregulation Act of 2018,Introduced,Environment and Public Works,Rand Paul
S.3760,Defense of Environment and Property Act of 2018,Introduced,Environment and Public Works,Rand Paul
S.3759,Venezuela TPS Act of 2018,Introduced,Foreign Relations,Robert Menendez
S.3758,Blocking Iranian Illicit Finance Act,Introduced,"Banking, Housing, and Urban Affairs",Ted Cruz
S.3757,Big Oil Bailout Prevention Unlimited Liability Act of 2018,Introduced,Environment and Public Works,Robert Menendez
S.3756,Big Oil Bailout Prevention Trust Fund Act of 2018,Introduced,Finance,Robert Menendez
S.3755,Background Investigation Authorization Demonstration Act,Introduced,Indian Affairs,John Hoeven
S.3754,CURE High Drug Prices Act,Introduced,"Health, Education, Labor, and Pensions",Richard Blumenthal
S.3753,Forest Management for Rural Stability Act,Introduced,Judiciary,Ron Wyden
S.3752,Standing Rock Sioux Tribe Land Restoration Act of 2018,Introduced,Environment and Public Works,Heidi Heitkamp
S.3751,SEE MORE Act,Introduced,Finance,Robert P. Casey Jr.
S.3750,Common Sense Credit Union Capital Relief Act of 2018,Introduced,"Banking, Housing, and Urban Affairs",Mike Rounds
S.3749,Congressional Accountability Act of 1995 Reform Act,Became Law,397. (TXT | PDF) (All Actions),Amy Klobuchar
S.3748,Improving the Inspector General Process for Legislative Branch Instrumentalities Act,Passed Senate,12/13/2018 Held at the desk. (All Actions),Roy Blunt
S.3747,First Step Act of 2018,Introduced,12/13/2018 Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 731. (All Actions),Chuck Grassley
S.3746,Fairness for Crime Victims Act of 2018,Introduced,Budget,Pat Toomey
S.3745,Youth Financial Learning Act,Introduced,"Health, Education, Labor, and Pensions",Doug Jones
